time	X
0	100.1
1	95.9551
2	94.9488
3	96.3413
4	101.4487
5	99.8888
6	103.6354
7	107.7502
8	97.3677
9	98.3542
10	107.13
11	100.6603
12	103.7354
13	94.5521
14	95.423
15	105.5666
16	107.7253
17	100.0221
18	97.1111
19	101.0719
20	103.8964
21	109.6353
22	100.0464
23	101.6586
24	99.7781
25	104.085
26	104.3278
27	104.3608
28	105.685
29	106.5647
30	107.7864
31	104.1056
32	99.1152
33	102.0641
34	93.9703
35	99.2681
36	104.0507
37	101.5511
38	101.6282
39	101.1724
40	95.6853
41	94.4728
42	93.526
43	86.7614
44	92.0108
45	93.5154
46	101.2931
47	103.9853
48	100.4015
49	101.4966
50	99.6247
51	106.363
52	106.9529
53	102.5668
54	97.5415
55	93.7029
56	95.1651
57	94.1136
58	97.7084
59	98.3573
60	92.5492
61	91.6413
62	87.1894
63	94.8134
64	96.1911
65	96.5456
66	98.4952
67	103.8706
68	101.3661
69	95.9633
70	100.0434
71	104.6976
72	112.2652
73	102.3928
74	99.4303
75	100.1761
76	98.2221
77	96.5216
78	94.827
79	97.0671
80	102.6429
81	105.5523
82	102.5078
83	104.3294
84	96.4825
85	106.7284
86	105.6761
87	100.9921
88	99.7543
89	95.2853
90	96.1646
91	100.8339
92	102.0723
93	102.2378
94	103.696
95	104.7009
96	103.7558
97	104.1203
98	104.5725
99	97.1439
100	93.9163
101	97.9471
102	99.4197
103	99.7532
104	102.0101
105	106.567
106	107.7086
107	106.938
108	106.4098
109	99.5821
110	92.8551
111	94.7673
112	95.2815
113	98.3529
114	95.9037
115	103.6555
116	106.5026
117	102.2782
118	100.3531
119	99.4372
120	103.5059
121	103.0076
122	104.2952
123	101.3638
124	99.5928
125	102.9071
126	100.4448
127	100.6868
128	99.7664
129	99.9711
130	96.2786
131	89.8086
132	97.0878
133	98.2006
134	93.8158
135	94.952
136	93.6251
137	100.1041
138	104.5564
139	101.0335
140	95.9838
141	91.4473
142	92.7135
143	91.6324
144	96.3109
145	95.7452
146	88.8317
147	95.2574
148	97.7189
149	101.49
150	106.5174
151	104.9858
152	105.9863
153	96.389
154	91.3527
155	95.3933
156	91.5791
157	89.9234
158	92.0492
159	90.1271
160	98.2464
161	101.1319
162	97.1605
163	101.0386
164	105.4587
165	109.4862
166	106.7817
167	100.9445
168	103.2927
169	99.5729
170	101.3932
171	104.7102
172	97.7524
173	97.7379
174	94.9654
175	94.6521
176	96.1376
177	93.816
178	92.9106
179	99.9824
180	95.1839
181	91.057
182	93.9938
183	97.2569
184	101.1928
185	99.8214
186	97.4358
187	99.9559
188	99.6923
189	102.4958
190	96.3296
191	103.3869
192	103.2792
193	98.5021
194	94.1615
195	98.5254
196	98.6062
197	99.8382
198	106.6545
199	103.4843
200	105.5341
201	104.5868
202	99.4232
203	101.1935
204	99.3042
205	99.5585
206	96.1927
207	98.7371
208	102.2827
209	96.136
210	95.1996
211	102.0928
212	105.24
213	102.8056
214	103.2487
215	111.2295
216	105.9723
217	104.146
218	100.3563
219	95.9827
220	101.071
221	100.3947
222	104.4277
223	102.9171
224	100.1464
225	94.9585
226	98.0035
227	94.7566
228	94.2043
229	99.4226
230	98.9743
231	94.7328
232	99.5024
233	94.4976
234	93.9449
235	97.255
236	99.3552
237	97.7196
238	101.5364
239	105.1251
240	104.2403
241	102.8713
242	105.5422
243	105.4973
244	103.1007
245	95.7345
246	96.6144
247	94.6939
248	92.1822
249	93.3131
250	98.7089
251	99.7796
252	100.7196
253	99.7133
254	99.5347
255	100.8807
256	103.0082
257	100.6599
258	99.9652
259	93.5894
260	97.0768
261	98.7066
262	97.8946
263	99.6539
264	98.0908
265	96.8342
266	95.8564
267	95.9145
268	102.6573
