t	X1	X2
0	1.08054921	0.93720618
1	1.081516915	0.920140116
2	1.039919712	0.868303031
3	1.030189043	0.902814291
4	0.924806038	0.856871622
5	0.945441563	0.968384373
6	1.020133369	0.921042308
7	0.953580789	0.86828287
8	0.814256027	0.915288209
9	0.997604565	0.983367272
10	0.952013692	0.818414882
11	0.792665884	0.885576426
12	0.890571892	0.940995605
13	0.827038492	0.952942993
14	0.808879595	0.922044944
15	0.911223872	0.869187131
16	0.821710101	0.838144261
17	0.873041392	0.99321518
18	0.858834897	0.964279308
19	0.849106977	0.970980229
20	0.760156001	0.926692151
21	0.777997329	0.974762216
22	0.798646285	0.942535015
23	0.76744575	0.993129098
24	0.759418499	0.976083833
25	0.83383646	1.022904809
26	0.763823347	0.930571858
27	0.730288427	0.93046488
28	0.7374985	0.932107794
29	0.789774893	1.018391576
30	0.811500028	1.022583955
31	0.660399815	0.959952931
32	0.771009091	1.019179718
33	0.743444202	1.027481719
34	0.774634947	1.090827256
35	0.709083062	1.113219164
36	0.718085878	1.044032863
37	0.65727702	1.008647242
38	0.672011536	1.038430659
39	0.624798108	0.978007636
40	0.685053963	1.016932775
41	0.67751426	0.924776203
42	0.709903459	1.14912943
43	0.712458331	1.004653878
44	0.689117814	0.955357407
45	0.633712182	1.011465896
46	0.809007152	1.078924592
47	0.66835542	1.022656547
48	0.572228178	1.049636298
49	0.666641239	1.059140272
50	0.674559733	1.069285787
51	0.645235938	0.993800794
52	0.707971066	1.003296179
53	0.718515576	0.971999152
54	0.627257314	1.073025005
55	0.659892	1.017776569
56	0.69326435	1.02174217
57	0.631779634	0.99091924
58	0.643763196	1.060341235
59	0.733819915	1.019813677
60	0.587987695	1.136602239
61	0.680763347	1.073441194
62	0.748214624	0.989508092
63	0.6603399	0.982841174
64	0.577300409	1.040030876
65	0.611210155	1.0441472
66	0.639562549	1.054791888
67	0.639547177	1.010929442
68	0.622436439	1.034027538
69	0.617587311	0.965109041
70	0.687840663	1.038251836
71	0.61785016	1.024025226
72	0.644511787	0.992839946
73	0.593167512	0.937658363
74	0.623150233	0.974185294
75	0.715956966	1.018320241
76	0.661486061	0.985284992
77	0.677477693	0.93675628
78	0.633457401	1.015947273
79	0.572287089	1.030662459
80	0.658824651	0.88162691
81	0.703168296	0.923650001
82	0.69677317	0.896880958
83	0.703677468	0.96796204
84	0.667279849	0.915787282
85	0.645250352	0.969001338
86	0.638632549	0.91324581
87	0.665194934	0.805604141
88	0.714389756	0.860319589
89	0.679077791	0.833066239
90	0.70361588	0.930743547
91	0.781565856	0.82863569
92	0.657895473	0.789546316
93	0.660816923	0.827559959
94	0.705807209	0.840954318
95	0.663983007	0.723099449
96	0.764974826	0.79798493
97	0.72794802	0.843894227
98	0.743555831	0.852152925
99	0.766533359	0.887785872
100	0.728565041	0.852683188
101	0.6236168	0.922310291
